iter,x,y,in_circle,pi_appx
0,-0.997497,0.127205,0,nan
1,-0.61338,0.61753,1,4
2,0.170054,-0.0402246,1,4
3,-0.299396,0.791979,1,4
4,0.64573,0.493255,1,4
5,-0.651773,0.717939,1,4
6,0.421046,0.0271013,1,4
7,-0.391992,-0.97003,0,3.42857
8,-0.817189,-0.271074,1,3.5
9,-0.705365,-0.668193,1,3.55556
10,0.97711,-0.108588,1,3.6
11,-0.761826,-0.990661,0,3.27273
12,-0.982177,-0.244217,0,3
13,0.0633584,0.142404,1,3.07692
14,0.203565,0.214369,1,3.14286
15,-0.667521,0.326131,1,3.2
16,-0.0983947,-0.295733,1,3.25
17,-0.885918,0.215406,1,3.29412
18,0.566685,0.605262,1,3.33333
19,0.0397974,-0.396081,1,3.36842
20,0.751999,0.453397,1,3.4
21,0.91186,0.851492,0,3.2381
22,0.0787402,-0.715315,1,3.27273
23,-0.0758103,-0.529329,1,3.30435
24,0.724532,-0.580785,1,3.33333
25,0.55936,0.687359,1,3.36
26,0.993652,0.999451,0,3.23077
27,0.223036,-0.215101,1,3.25926
28,-0.467558,-0.40542,1,3.28571
29,0.680339,-0.952512,0,3.17241
30,-0.248245,-0.814747,1,3.2
31,0.354453,-0.887566,1,3.22581
32,-0.982421,0.837637,0,3.125
33,-0.448209,-0.45419,1,3.15152
34,0.175853,0.382409,1,3.17647
35,0.675273,0.453031,1,3.2
36,-0.0300922,-0.589269,1,3.22222
37,0.487518,-0.0630532,1,3.24324
38,-0.0840505,0.89837,1,3.26316
39,0.488921,-0.783434,1,3.28205
40,0.198132,-0.229506,1,3.3
41,0.47006,0.21797,1,3.31707
42,0.144845,-0.2773,1,3.33333
43,-0.696881,-0.549777,1,3.34884
44,-0.149667,0.605811,1,3.36364
45,0.0342428,0.98004,1,3.37778
46,0.503143,-0.308857,1,3.3913
47,-0.662028,0.314655,1,3.40426
48,-0.0161753,-0.872917,1,3.41667
49,0.399561,0.00964414,1,3.42857
50,-0.704999,0.899225,0,3.36
51,-0.716841,0.810291,0,3.29412
52,0.385827,-0.393884,1,3.30769
53,-0.14686,-0.859244,1,3.32075
54,0.933285,0.366416,0,3.25926
55,-0.693524,0.754563,0,3.2
56,0.643411,0.164134,1,3.21429
57,-0.617286,-0.644204,1,3.22807
58,0.634438,-0.0494415,1,3.24138
59,-0.688885,0.00787402,1,3.25424
60,0.464079,-0.188793,1,3.26667
61,-0.440823,0.137521,1,3.27869
62,0.364524,0.51175,1,3.29032
63,0.443875,-0.0493805,1,3.30159
64,-0.753952,-0.264359,1,3.3125
65,0.669413,-0.929805,0,3.26154
66,0.0340597,0.326009,1,3.27273
67,-0.147531,-0.790637,1,3.28358
68,0.898736,0.842825,0,3.23529
69,0.0991271,-0.308002,1,3.24638
70,-0.056522,-0.250015,1,3.25714
71,0.694012,-0.366233,1,3.26761
72,-0.0877739,-0.456205,1,3.27778
73,0.966001,-0.404383,0,3.23288
74,0.478423,0.134591,1,3.24324
75,-0.608008,0.522676,1,3.25333
76,0.678935,-0.204663,1,3.26316
77,0.00183117,0.780382,1,3.27273
78,-0.945065,0.989318,0,3.23077
79,0.145212,-0.898981,1,3.24051
80,0.0626869,-0.611854,1,3.25
81,0.686138,0.253556,1,3.25926
82,0.315266,-0.604285,1,3.26829
83,0.684368,-0.753342,0,3.22892
84,-0.780138,0.486297,1,3.2381
85,-0.371849,0.882195,1,3.24706
86,-0.427822,-0.327352,1,3.25581
87,-0.719465,0.466215,1,3.26437
88,0.669291,0.416041,1,3.27273
89,0.200513,0.494476,1,3.2809
90,-0.494537,-0.711042,1,3.28889
91,-0.996765,-0.877983,0,3.25275
92,0.612525,0.705304,1,3.26087
93,-0.578832,-0.768785,1,3.26882
94,0.106452,-0.971495,1,3.2766
95,-0.772447,-0.0909479,1,3.28421
96,0.504486,0.372337,1,3.29167
97,0.0869194,-0.852225,1,3.29897
98,-0.126534,-0.596106,1,3.30612
99,0.39248,-0.419276,1,3.31313
100,-0.126595,-0.535128,1,3.32
101,0.155771,0.0651895,1,3.32673
102,0.257401,-0.679607,1,3.33333
103,0.00830129,0.926143,1,3.33981
104,0.391564,0.849661,1,3.34615
105,-0.620094,-0.328084,1,3.35238
106,-0.643289,0.990417,0,3.32075
107,-0.0850882,0.996094,1,3.3271
108,-0.804981,0.250381,1,3.33333
109,-0.811207,-0.124519,1,3.33945
110,0.86309,-0.903131,0,3.30909
111,0.789294,-0.419948,1,3.31532
112,-0.545382,0.53818,1,3.32143
113,-0.178539,-0.596045,1,3.32743
114,0.25618,0.208326,1,3.33333
115,-0.0967466,-0.0672648,1,3.33913
116,0.195691,0.269487,1,3.34483
117,0.709638,0.657633,1,3.35043
118,0.249588,0.44186,1,3.35593
119,0.131539,-0.24971,1,3.36134
120,-0.631447,0.475859,1,3.36667
121,0.110297,0.81023,1,3.3719
122,-0.514253,-0.622108,1,3.37705
123,0.209485,0.397058,1,3.38211
124,0.169261,-0.297381,1,3.3871
125,-0.011048,-0.839224,1,3.392
126,0.481536,0.224135,1,3.39683
127,0.240798,0.382287,1,3.40157
128,0.609107,-0.701764,1,3.40625
129,0.152109,0.735519,1,3.41085
130,0.82317,0.229445,1,3.41538
131,0.455411,-0.913569,0,3.38931
132,0.335592,0.953122,0,3.36364
